IpAddr;Host;Fqdm;Port;
172.16.1.0;down;;[];
172.16.1.2;down;;[];
172.16.1.3;down;;[];
172.16.1.4;down;;[];
172.16.1.5;down;;[];
172.16.1.6;down;;[];
172.16.1.7;down;;[];
172.16.1.8;down;;[];
172.16.1.9;down;;[];
172.16.1.13;down;;[];
172.16.1.14;down;;[];
172.16.1.15;down;;[];
172.16.1.29;down;;[];
172.16.1.33;down;;[];
172.16.1.34;down;;[];
172.16.1.35;down;;[];
172.16.1.37;down;;[];
172.16.1.38;down;;[];
172.16.1.40;down;;[];
172.16.1.41;down;;[];
172.16.1.42;down;;[];
172.16.1.43;down;;[];
172.16.1.44;down;;[];
172.16.1.45;down;;[];
172.16.1.46;down;;[];
172.16.1.47;down;;[];
172.16.1.48;down;;[];
172.16.1.49;down;;[];
172.16.1.50;down;;[];
172.16.1.51;down;;[];
172.16.1.52;down;;[];
172.16.1.53;down;;[];
172.16.1.54;down;;[];
172.16.1.55;down;;[];
172.16.1.56;down;;[];
172.16.1.57;down;;[];
172.16.1.58;down;;[];
172.16.1.60;down;;[];
172.16.1.61;down;;[];
172.16.1.62;down;;[];
172.16.1.63;down;;[];
172.16.1.64;down;;[];
172.16.1.65;down;;[];
172.16.1.66;down;;[];
172.16.1.67;down;;[];
172.16.1.68;down;;[];
172.16.1.70;down;;[];
172.16.1.71;down;;[];
172.16.1.72;down;;[];
172.16.1.73;down;;[];
172.16.1.74;down;;[];
172.16.1.75;down;;[];
172.16.1.76;down;;[];
172.16.1.77;down;;[];
172.16.1.80;down;;[];
172.16.1.81;down;;[];
172.16.1.82;down;;[];
172.16.1.83;down;;[];
172.16.1.84;down;;[];
172.16.1.85;down;;[];
172.16.1.86;down;;[];
172.16.1.87;down;;[];
172.16.1.90;down;;[];
172.16.1.91;down;;[];
172.16.1.93;down;;[];
172.16.1.94;down;;[];
172.16.1.95;down;;[];
172.16.1.96;down;;[];
172.16.1.97;down;;[];
172.16.1.100;down;;[];
172.16.1.101;down;;[];
172.16.1.102;down;;[];
172.16.1.103;down;;[];
172.16.1.104;down;;[];
172.16.1.105;down;;[];
172.16.1.106;down;;[];
172.16.1.107;down;;[];
172.16.1.109;down;;[];
172.16.1.110;down;;[];
172.16.1.111;down;;[];
172.16.1.112;down;;[];
172.16.1.113;down;;[];
172.16.1.114;down;;[];
172.16.1.115;down;;[];
172.16.1.116;down;;[];
172.16.1.117;down;;[];
172.16.1.120;down;;[];
172.16.1.121;down;;[];
172.16.1.122;down;;[];
172.16.1.123;down;;[];
172.16.1.124;down;;[];
172.16.1.125;down;;[];
172.16.1.126;down;;[];
172.16.1.127;down;;[];
172.16.1.130;down;;[];
172.16.1.131;down;;[];
172.16.1.132;down;;[];
172.16.1.133;down;;[];
172.16.1.134;down;;[];
172.16.1.135;down;;[];
172.16.1.136;down;;[];
172.16.1.137;down;;[];
172.16.1.138;down;;[];
172.16.1.140;down;;[];
172.16.1.141;down;;[];
172.16.1.142;down;;[];
172.16.1.143;down;;[];
172.16.1.144;down;;[];
172.16.1.145;down;;[];
172.16.1.146;down;;[];
172.16.1.147;down;;[];
172.16.1.150;down;;[];
172.16.1.151;down;;[];
172.16.1.152;down;;[];
172.16.1.153;down;;[];
172.16.1.154;down;;[];
172.16.1.155;down;;[];
172.16.1.156;down;;[];
172.16.1.157;down;;[];
172.16.1.158;down;;[];
172.16.1.159;down;;[];
172.16.1.160;down;;[];
172.16.1.161;down;;[];
172.16.1.162;down;;[];
172.16.1.163;down;;[];
172.16.1.164;down;;[];
172.16.1.165;down;;[];
172.16.1.166;down;;[];
172.16.1.167;down;;[];
172.16.1.168;down;;[];
172.16.1.169;down;;[];
172.16.1.174;down;;[];
172.16.1.175;down;;[];
172.16.1.176;down;;[];
172.16.1.177;down;;[];
172.16.1.178;down;;[];
172.16.1.179;down;;[];
172.16.1.180;down;;[];
172.16.1.181;down;;[];
172.16.1.182;down;;[];
172.16.1.183;down;;[];
172.16.1.184;down;;[];
172.16.1.185;down;;[];
172.16.1.186;down;;[];
172.16.1.187;down;;[];
172.16.1.188;down;;[];
172.16.1.189;down;;[];
172.16.1.190;down;;[];
172.16.1.191;down;;[];
172.16.1.193;down;;[];
172.16.1.194;down;;[];
172.16.1.195;down;;[];
172.16.1.196;down;;[];
172.16.1.197;down;;[];
172.16.1.198;down;;[];
172.16.1.199;down;;[];
172.16.1.200;down;;[];
172.16.1.201;down;;[];
172.16.1.202;down;;[];
172.16.1.203;down;;[];
172.16.1.204;down;;[];
172.16.1.205;down;;[];
172.16.1.206;down;;[];
172.16.1.207;down;;[];
172.16.1.208;down;;[];
172.16.1.209;down;;[];
172.16.1.210;down;;[];
172.16.1.211;down;;[];
172.16.1.212;down;;[];
172.16.1.213;down;;[];
172.16.1.214;down;;[];
172.16.1.215;down;;[];
172.16.1.216;down;;[];
172.16.1.217;down;;[];
172.16.1.218;down;;[];
172.16.1.219;down;;[];
172.16.1.220;down;;[];
172.16.1.221;down;;[];
172.16.1.222;down;;[];
172.16.1.223;down;;[];
172.16.1.224;down;;[];
172.16.1.225;down;;[];
172.16.1.226;down;;[];
172.16.1.227;down;;[];
172.16.1.228;down;;[];
172.16.1.229;down;;[];
172.16.1.230;down;;[];
172.16.1.231;down;;[];
172.16.1.232;down;;[];
172.16.1.233;down;;[];
172.16.1.234;down;;[];
172.16.1.235;down;;[];
172.16.1.236;down;;[];
172.16.1.237;down;;[];
172.16.1.238;down;;[];
172.16.1.239;down;;[];
172.16.1.240;down;;[];
172.16.1.241;down;;[];
172.16.1.242;down;;[];
172.16.1.243;down;;[];
172.16.1.244;down;;[];
172.16.1.245;down;;[];
172.16.1.246;down;;[];
172.16.1.247;down;;[];
172.16.1.248;down;;[];
172.16.1.249;down;;[];
172.16.1.250;down;;[];
172.16.1.251;down;;[];
172.16.1.252;down;;[];
172.16.1.253;down;;[];
172.16.1.254;down;;[];
172.16.1.255;down;;[];
172.16.1.1;up;0.centos.pool.ntp.org;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.10;up;fs-6248-1.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.11;up;fs-6248-vip.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.12;up;fs-6248-2.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.16;up;fs-3048-1.in.fixstream.com;[['21/tcp', 'filtered', 'ftp'], ['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['179/tcp', 'open', 'bgp'], ['513/tcp', 'filtered', 'login'], ['514/tcp', 'filtered', 'shell'], ['8080/tcp', 'open', 'http'], ['8443/tcp', 'open', 'https']];
172.16.1.17;up;fs-2960X-1.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.18;up;fs-2960X-2.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.19;up;;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http']];
172.16.1.20;up;fs-emc-vnx0.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.21;up;fs-emc-vnx1.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['443/tcp', 'open', 'https']];
172.16.1.22;up;fs-5672-1.in.fixstream.com;[['21/tcp', 'filtered', 'ftp'], ['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['443/tcp', 'filtered', 'https'], ['513/tcp', 'filtered', 'login'], ['514/tcp', 'filtered', 'shell']];
172.16.1.23;up;fs-5672-2.in.fixstream.com;[['21/tcp', 'filtered', 'ftp'], ['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['80/tcp', 'open', 'http'], ['179/tcp', 'open', 'bgp'], ['443/tcp', 'filtered', 'https'], ['513/tcp', 'filtered', 'login'], ['514/tcp', 'filtered', 'shell']];
172.16.1.24;up;fs-5672-vip.in.fixstream.com;[['21/tcp', 'open', 'ftp'], ['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet'], ['514/tcp', 'open', 'shell']];
172.16.1.25;up;fs-netapp-nfs.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['80/tcp', 'open', 'http'], ['111/tcp', 'open', 'rpcbind'], ['443/tcp', 'open', 'https'], ['2049/tcp', 'open', 'nfs'], ['10000/tcp', 'open', 'snet']];
172.16.1.26;up;;[['23/tcp', 'open', 'telnet'], ['79/tcp', 'open', 'finger'], ['80/tcp', 'open', 'http']];
172.16.1.27;up;fs-3500xl-1.in.fixstream.com;[['23/tcp', 'open', 'telnet'], ['79/tcp', 'open', 'finger'], ['80/tcp', 'open', 'http']];
172.16.1.28;up;fs-1812-rtr.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['23/tcp', 'open', 'telnet']];
172.16.1.30;up;fs-f5-lb.in.fixstream.com;[['22/tcp', 'open', 'ssh'], ['443/tcp', 'open', 'https'], ['3306/tcp', 'filtered', 'mysql']];
